depth,position,hand,EV
2,LJ,Q6s,0.12
2,LJ,Q5s,0.07
2,LJ,Q4s,0.02
2,LJ,JTs,0.67
2,LJ,J9s,0.43
2,LJ,J8s,0.27
2,LJ,J7s,0.13
2,LJ,T9s,0.42
2,LJ,T8s,0.26
2,LJ,T7s,0.12
2,LJ,98s,0.24
2,LJ,97s,0.1
2,LJ,87s,0.12
2,LJ,86s,0.01
2,LJ,76s,0.02
2,LJ,AKo,1.44
2,LJ,AQo,1.22
2,LJ,AJo,1.03
2,LJ,ATo,0.88
2,LJ,A9o,0.59
2,LJ,A8o,0.45
2,LJ,A7o,0.34
2,LJ,A6o,0.23
2,LJ,A5o,0.26
2,LJ,A4o,0.19
2,LJ,A3o,0.14
2,LJ,A2o,0.08
2,LJ,KQo,0.85
2,LJ,KJo,0.7
2,LJ,KTo,0.57
2,LJ,K9o,0.3
2,LJ,K8o,0.09
2,LJ,K7o,0.03
2,LJ,QJo,0.56
2,LJ,QTo,0.45
2,LJ,Q9o,0.18
2,LJ,JTo,0.39
2,LJ,J9o,0.13
2,LJ,T9o,0.12
10,LJ-2,99,1.57
10,LJ-2,88,1.16
10,LJ-2,77,0.77
10,LJ-2,66,0.44
10,LJ-2,55,0.21
10,LJ-2,44,0.09
10,LJ-2,AQs,1.87
10,LJ-2,AJs,1.19
10,LJ-2,ATs,0.7
10,LJ-2,A9s,0.31
10,LJ-2,A8s,0.18
10,LJ-2,A7s,0.09
10,LJ-2,A6s,0.01
10,LJ-2,A5s,0.09
10,LJ-2,A4s,0.03
10,LJ-2,KQs,0.65
10,LJ-2,KJs,0.41
10,LJ-2,KTs,0.31
10,LJ-2,K9s,0.06
10,LJ-2,QJs,0.34
10,LJ-2,QTs,0.26
10,LJ-2,Q9s,0.01
10,LJ-2,JTs,0.26
10,LJ-2,J9s,0.02
10,LJ-2,T9s,0.07
10,LJ-2,AQo,1.57
10,LJ-2,AJo,0.83
10,LJ-2,ATo,0.31
10,LJ-2,KQo,0.25
