entry,at,order
"The player ""david @ _CUkW_t4rD"" passed the room ownership to ""onlycallz @ xj3nLBqQ53"".",2022-08-29T03:59:56.387Z,166174559638700
"The player ""DonkeyKing @ j5UIC5xTp0"" stand up with the stack of 274.73.",2022-08-29T03:19:35.316Z,166174317531600
"The admin ""david @ _CUkW_t4rD"" enqueued the game stop on next hand.",2022-08-29T03:19:14.033Z,166174315403300
"-- ending hand #360 --",2022-08-29T03:19:07.373Z,166174314737302
"""DonkeyKing @ j5UIC5xTp0"" collected 0.50 from pot",2022-08-29T03:19:07.373Z,166174314737301
"Uncalled bet of 0.25 returned to ""DonkeyKing @ j5UIC5xTp0""",2022-08-29T03:19:07.373Z,166174314737300
"""onlycallz @ xj3nLBqQ53"" folds",2022-08-29T03:19:06.477Z,166174314647700
"""DonkeyKing @ j5UIC5xTp0"" posts a big blind of 0.50",2022-08-29T03:18:51.460Z,166174313146005
"""onlycallz @ xj3nLBqQ53"" posts a small blind of 0.25",2022-08-29T03:18:51.460Z,166174313146004
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (106.22) | #6 ""DonkeyKing @ j5UIC5xTp0"" (274.48)",2022-08-29T03:18:51.460Z,166174313146001
"-- starting hand #360  (No Limit Texas Hold'em) (dealer: ""onlycallz @ xj3nLBqQ53"") --",2022-08-29T03:18:51.460Z,166174313146000
"-- ending hand #359 --",2022-08-29T03:18:48.460Z,166174312846002
"""DonkeyKing @ j5UIC5xTp0"" collected 1.00 from pot",2022-08-29T03:18:48.460Z,166174312846001
"Uncalled bet of 0.75 returned to ""DonkeyKing @ j5UIC5xTp0""",2022-08-29T03:18:48.460Z,166174312846000
"""onlycallz @ xj3nLBqQ53"" folds",2022-08-29T03:18:47.608Z,166174312760800
"""DonkeyKing @ j5UIC5xTp0"" raises to 1.25",2022-08-29T03:18:46.110Z,166174312611000
"""onlycallz @ xj3nLBqQ53"" posts a big blind of 0.50",2022-08-29T03:18:42.651Z,166174312265105
"""DonkeyKing @ j5UIC5xTp0"" posts a small blind of 0.25",2022-08-29T03:18:42.651Z,166174312265104
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (106.72) | #6 ""DonkeyKing @ j5UIC5xTp0"" (273.98)",2022-08-29T03:18:42.651Z,166174312265101
"-- starting hand #359  (No Limit Texas Hold'em) (dealer: ""DonkeyKing @ j5UIC5xTp0"") --",2022-08-29T03:18:42.651Z,166174312265100
"""DonkeyKing @ j5UIC5xTp0"" shows a 6♠, J♦.",2022-08-29T03:18:39.790Z,166174311979000
"-- ending hand #358 --",2022-08-29T03:18:38.854Z,166174311885402
"""onlycallz @ xj3nLBqQ53"" collected 30.66 from pot with Three of a Kind, Q's (combination: Q♥, Q♣, Q♦, J♠, 8♣)",2022-08-29T03:18:38.854Z,166174311885401
"""onlycallz @ xj3nLBqQ53"" shows a Q♥, Q♣.",2022-08-29T03:18:38.854Z,166174311885400
"""DonkeyKing @ j5UIC5xTp0"" calls 12.25",2022-08-29T03:18:37.987Z,166174311798700
"""onlycallz @ xj3nLBqQ53"" bets 12.25",2022-08-29T03:18:33.259Z,166174311325900
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:18:16.130Z,166174309613000
"River: Q♦, 8♣, 6♣, 2♠ [J♠]",2022-08-29T03:18:13.423Z,166174309342300
"""DonkeyKing @ j5UIC5xTp0"" calls 1.83",2022-08-29T03:18:12.572Z,166174309257200
"""onlycallz @ xj3nLBqQ53"" bets 1.83",2022-08-29T03:18:08.951Z,166174308895100
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:18:02.880Z,166174308288000
"Turn: Q♦, 8♣, 6♣ [2♠]",2022-08-29T03:17:57.919Z,166174307791900
"""onlycallz @ xj3nLBqQ53"" checks",2022-08-29T03:17:57.065Z,166174307706500
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:17:54.061Z,166174307406100
"Flop:  [Q♦, 8♣, 6♣]",2022-08-29T03:17:51.316Z,166174307131600
"""DonkeyKing @ j5UIC5xTp0"" calls 1.25",2022-08-29T03:17:50.434Z,166174307043400
"""onlycallz @ xj3nLBqQ53"" raises to 1.25",2022-08-29T03:17:48.028Z,166174306802800
"""DonkeyKing @ j5UIC5xTp0"" posts a big blind of 0.50",2022-08-29T03:17:45.918Z,166174306591805
"""onlycallz @ xj3nLBqQ53"" posts a small blind of 0.25",2022-08-29T03:17:45.918Z,166174306591804
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (91.39) | #6 ""DonkeyKing @ j5UIC5xTp0"" (289.31)",2022-08-29T03:17:45.918Z,166174306591801
"-- starting hand #358  (No Limit Texas Hold'em) (dealer: ""onlycallz @ xj3nLBqQ53"") --",2022-08-29T03:17:45.918Z,166174306591800
"-- ending hand #357 --",2022-08-29T03:17:43.004Z,166174306300402
"""DonkeyKing @ j5UIC5xTp0"" collected 2.50 from pot",2022-08-29T03:17:43.004Z,166174306300401
"Uncalled bet of 1.25 returned to ""DonkeyKing @ j5UIC5xTp0""",2022-08-29T03:17:43.004Z,166174306300400
"""onlycallz @ xj3nLBqQ53"" folds",2022-08-29T03:17:42.196Z,166174306219600
"""DonkeyKing @ j5UIC5xTp0"" bets 1.25",2022-08-29T03:17:41.288Z,166174306128800
"""onlycallz @ xj3nLBqQ53"" checks",2022-08-29T03:17:35.891Z,166174305589100
"Flop:  [4♥, 9♣, 8♦]",2022-08-29T03:17:34.600Z,166174305460000
"""onlycallz @ xj3nLBqQ53"" calls 1.25",2022-08-29T03:17:33.711Z,166174305371100
"""DonkeyKing @ j5UIC5xTp0"" raises to 1.25",2022-08-29T03:17:29.245Z,166174304924500
"""onlycallz @ xj3nLBqQ53"" posts a big blind of 0.50",2022-08-29T03:17:24.399Z,166174304439905
"""DonkeyKing @ j5UIC5xTp0"" posts a small blind of 0.25",2022-08-29T03:17:24.399Z,166174304439904
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (92.64) | #6 ""DonkeyKing @ j5UIC5xTp0"" (288.06)",2022-08-29T03:17:24.399Z,166174304439901
"-- starting hand #357  (No Limit Texas Hold'em) (dealer: ""DonkeyKing @ j5UIC5xTp0"") --",2022-08-29T03:17:24.399Z,166174304439900
"""onlycallz @ xj3nLBqQ53"" shows a K♠, K♥.",2022-08-29T03:17:21.802Z,166174304180200
"-- ending hand #356 --",2022-08-29T03:17:20.790Z,166174304079002
"""onlycallz @ xj3nLBqQ53"" collected 3.82 from pot",2022-08-29T03:17:20.790Z,166174304079001
"Uncalled bet of 2.82 returned to ""onlycallz @ xj3nLBqQ53""",2022-08-29T03:17:20.790Z,166174304079000
"""DonkeyKing @ j5UIC5xTp0"" folds",2022-08-29T03:17:19.897Z,166174303989700
"""onlycallz @ xj3nLBqQ53"" bets 2.82",2022-08-29T03:17:01.496Z,166174302149600
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:16:48.587Z,166174300858700
"River: K♣, 2♣, K♦, 8♣ [10♥]",2022-08-29T03:16:46.576Z,166174300657600
"""DonkeyKing @ j5UIC5xTp0"" calls 0.66",2022-08-29T03:16:45.744Z,166174300574400
"""onlycallz @ xj3nLBqQ53"" bets 0.66",2022-08-29T03:16:43.792Z,166174300379200
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:16:37.622Z,166174299762200
"Turn: K♣, 2♣, K♦ [8♣]",2022-08-29T03:16:31.068Z,166174299106800
"""onlycallz @ xj3nLBqQ53"" checks",2022-08-29T03:16:30.257Z,166174299025700
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:16:25.874Z,166174298587400
"Flop:  [K♣, 2♣, K♦]",2022-08-29T03:16:24.258Z,166174298425800
"""DonkeyKing @ j5UIC5xTp0"" calls 1.25",2022-08-29T03:16:23.435Z,166174298343500
"""onlycallz @ xj3nLBqQ53"" raises to 1.25",2022-08-29T03:16:21.716Z,166174298171600
"""DonkeyKing @ j5UIC5xTp0"" posts a big blind of 0.50",2022-08-29T03:16:19.051Z,166174297905105
"""onlycallz @ xj3nLBqQ53"" posts a small blind of 0.25",2022-08-29T03:16:19.051Z,166174297905104
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (90.73) | #6 ""DonkeyKing @ j5UIC5xTp0"" (289.97)",2022-08-29T03:16:19.051Z,166174297905101
"-- starting hand #356  (No Limit Texas Hold'em) (dealer: ""onlycallz @ xj3nLBqQ53"") --",2022-08-29T03:16:19.051Z,166174297905100
"-- ending hand #355 --",2022-08-29T03:16:16.051Z,166174297605102
"""onlycallz @ xj3nLBqQ53"" collected 0.50 from pot",2022-08-29T03:16:16.051Z,166174297605101
"Uncalled bet of 0.25 returned to ""onlycallz @ xj3nLBqQ53""",2022-08-29T03:16:16.051Z,166174297605100
"""DonkeyKing @ j5UIC5xTp0"" folds",2022-08-29T03:16:15.172Z,166174297517200
"""onlycallz @ xj3nLBqQ53"" posts a big blind of 0.50",2022-08-29T03:16:11.337Z,166174297133705
"""DonkeyKing @ j5UIC5xTp0"" posts a small blind of 0.25",2022-08-29T03:16:11.337Z,166174297133704
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (90.48) | #6 ""DonkeyKing @ j5UIC5xTp0"" (290.22)",2022-08-29T03:16:11.337Z,166174297133701
"-- starting hand #355  (No Limit Texas Hold'em) (dealer: ""DonkeyKing @ j5UIC5xTp0"") --",2022-08-29T03:16:11.337Z,166174297133700
"-- ending hand #354 --",2022-08-29T03:16:08.331Z,166174296833101
"""onlycallz @ xj3nLBqQ53"" collected 90.48 from pot with Two Pair, K's & J's (combination: K♦, K♣, J♦, J♠, 9♦)",2022-08-29T03:16:08.331Z,166174296833100
"River: 7♠, 3♦, J♠, 9♦ [K♣]",2022-08-29T03:16:04.254Z,166174296425400
"""DonkeyKing @ j5UIC5xTp0"" shows a 3♥, J♣.",2022-08-29T03:16:00.246Z,166174296024601
"""onlycallz @ xj3nLBqQ53"" shows a K♦, J♦.",2022-08-29T03:16:00.246Z,166174296024600
"Some players choose to not run it twice.",2022-08-29T03:15:59.375Z,166174295937501
"""onlycallz @ xj3nLBqQ53"" chooses to not run it twice.",2022-08-29T03:15:59.375Z,166174295937500
"Remaining players decide whether to run it twice.",2022-08-29T03:15:59.331Z,166174295933101
"""onlycallz @ xj3nLBqQ53"" calls 40.01 and go all in",2022-08-29T03:15:59.331Z,166174295933100
"""DonkeyKing @ j5UIC5xTp0"" raises to 40.01",2022-08-29T03:15:57.743Z,166174295774300
"""onlycallz @ xj3nLBqQ53"" bets 9.25",2022-08-29T03:15:54.577Z,166174295457700
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:15:36.452Z,166174293645200
"Turn: 7♠, 3♦, J♠ [9♦]",2022-08-29T03:15:26.631Z,166174292663100
"""onlycallz @ xj3nLBqQ53"" calls 3.98",2022-08-29T03:15:25.722Z,166174292572200
"""DonkeyKing @ j5UIC5xTp0"" raises to 3.98",2022-08-29T03:15:16.217Z,166174291621700
"""onlycallz @ xj3nLBqQ53"" bets 0.66",2022-08-29T03:15:08.737Z,166174290873700
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:15:05.411Z,166174290541100
"Flop:  [7♠, 3♦, J♠]",2022-08-29T03:15:03.410Z,166174290341000
"""DonkeyKing @ j5UIC5xTp0"" calls 1.25",2022-08-29T03:15:02.553Z,166174290255300
"""onlycallz @ xj3nLBqQ53"" raises to 1.25",2022-08-29T03:15:00.288Z,166174290028800
"""DonkeyKing @ j5UIC5xTp0"" posts a big blind of 0.50",2022-08-29T03:14:57.290Z,166174289729005
"""onlycallz @ xj3nLBqQ53"" posts a small blind of 0.25",2022-08-29T03:14:57.290Z,166174289729004
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (45.24) | #6 ""DonkeyKing @ j5UIC5xTp0"" (335.46)",2022-08-29T03:14:57.290Z,166174289729001
"-- starting hand #354  (No Limit Texas Hold'em) (dealer: ""onlycallz @ xj3nLBqQ53"") --",2022-08-29T03:14:57.290Z,166174289729000
"-- ending hand #353 --",2022-08-29T03:14:54.289Z,166174289428902
"""onlycallz @ xj3nLBqQ53"" collected 2.50 from pot",2022-08-29T03:14:54.289Z,166174289428901
"Uncalled bet of 3.75 returned to ""onlycallz @ xj3nLBqQ53""",2022-08-29T03:14:54.289Z,166174289428900
"""DonkeyKing @ j5UIC5xTp0"" folds",2022-08-29T03:14:53.399Z,166174289339900
"""onlycallz @ xj3nLBqQ53"" raises to 5.00",2022-08-29T03:14:51.542Z,166174289154200
"""DonkeyKing @ j5UIC5xTp0"" raises to 1.25",2022-08-29T03:14:46.272Z,166174288627200
"""onlycallz @ xj3nLBqQ53"" posts a big blind of 0.50",2022-08-29T03:14:43.683Z,166174288368305
"""DonkeyKing @ j5UIC5xTp0"" posts a small blind of 0.25",2022-08-29T03:14:43.683Z,166174288368304
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (43.99) | #6 ""DonkeyKing @ j5UIC5xTp0"" (336.71)",2022-08-29T03:14:43.683Z,166174288368301
"-- starting hand #353  (No Limit Texas Hold'em) (dealer: ""DonkeyKing @ j5UIC5xTp0"") --",2022-08-29T03:14:43.683Z,166174288368300
"-- ending hand #352 --",2022-08-29T03:14:40.683Z,166174288068302
"""DonkeyKing @ j5UIC5xTp0"" collected 2.50 from pot",2022-08-29T03:14:40.683Z,166174288068301
"Uncalled bet of 1.00 returned to ""DonkeyKing @ j5UIC5xTp0""",2022-08-29T03:14:40.683Z,166174288068300
"""onlycallz @ xj3nLBqQ53"" folds",2022-08-29T03:14:39.805Z,166174287980500
"""DonkeyKing @ j5UIC5xTp0"" bets 1.00",2022-08-29T03:14:38.673Z,166174287867300
"Turn: 7♥, 3♥, Q♥ [Q♠]",2022-08-29T03:14:34.684Z,166174287468400
"""onlycallz @ xj3nLBqQ53"" checks",2022-08-29T03:14:33.815Z,166174287381500
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:14:30.091Z,166174287009100
"Flop:  [7♥, 3♥, Q♥]",2022-08-29T03:14:28.671Z,166174286867100
"""DonkeyKing @ j5UIC5xTp0"" calls 1.25",2022-08-29T03:14:27.830Z,166174286783000
"""onlycallz @ xj3nLBqQ53"" raises to 1.25",2022-08-29T03:14:26.056Z,166174286605600
"""DonkeyKing @ j5UIC5xTp0"" posts a big blind of 0.50",2022-08-29T03:14:23.528Z,166174286352805
"""onlycallz @ xj3nLBqQ53"" posts a small blind of 0.25",2022-08-29T03:14:23.528Z,166174286352804
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (45.24) | #6 ""DonkeyKing @ j5UIC5xTp0"" (335.46)",2022-08-29T03:14:23.528Z,166174286352801
"-- starting hand #352  (No Limit Texas Hold'em) (dealer: ""onlycallz @ xj3nLBqQ53"") --",2022-08-29T03:14:23.528Z,166174286352800
"-- ending hand #351 --",2022-08-29T03:14:20.469Z,166174286046902
"""onlycallz @ xj3nLBqQ53"" collected 6.16 from pot",2022-08-29T03:14:20.469Z,166174286046901
"Uncalled bet of 8.00 returned to ""onlycallz @ xj3nLBqQ53""",2022-08-29T03:14:20.469Z,166174286046900
"""DonkeyKing @ j5UIC5xTp0"" folds",2022-08-29T03:14:19.606Z,166174285960600
"""onlycallz @ xj3nLBqQ53"" bets 8.00",2022-08-29T03:13:56.212Z,166174283621200
"River: 8♦, 6♦, Q♦, 7♠ [A♥]",2022-08-29T03:13:37.042Z,166174281704200
"""DonkeyKing @ j5UIC5xTp0"" calls 1.83",2022-08-29T03:13:36.185Z,166174281618500
"""onlycallz @ xj3nLBqQ53"" bets 1.83",2022-08-29T03:13:30.583Z,166174281058300
"Turn: 8♦, 6♦, Q♦ [7♠]",2022-08-29T03:13:26.238Z,166174280623800
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:13:25.342Z,166174280534200
"""onlycallz @ xj3nLBqQ53"" checks",2022-08-29T03:13:24.010Z,166174280401000
"Flop:  [8♦, 6♦, Q♦]",2022-08-29T03:13:21.237Z,166174280123700
"""onlycallz @ xj3nLBqQ53"" calls 1.25",2022-08-29T03:13:20.370Z,166174280037000
"""DonkeyKing @ j5UIC5xTp0"" raises to 1.25",2022-08-29T03:13:18.463Z,166174279846300
"""onlycallz @ xj3nLBqQ53"" posts a big blind of 0.50",2022-08-29T03:13:16.440Z,166174279644005
"""DonkeyKing @ j5UIC5xTp0"" posts a small blind of 0.25",2022-08-29T03:13:16.440Z,166174279644004
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (42.16) | #6 ""DonkeyKing @ j5UIC5xTp0"" (338.54)",2022-08-29T03:13:16.440Z,166174279644001
"-- starting hand #351  (No Limit Texas Hold'em) (dealer: ""DonkeyKing @ j5UIC5xTp0"") --",2022-08-29T03:13:16.440Z,166174279644000
"-- ending hand #350 --",2022-08-29T03:13:13.508Z,166174279350802
"""DonkeyKing @ j5UIC5xTp0"" collected 0.50 from pot",2022-08-29T03:13:13.508Z,166174279350801
"Uncalled bet of 0.25 returned to ""DonkeyKing @ j5UIC5xTp0""",2022-08-29T03:13:13.508Z,166174279350800
"""onlycallz @ xj3nLBqQ53"" folds",2022-08-29T03:13:12.688Z,166174279268800
"""DonkeyKing @ j5UIC5xTp0"" posts a big blind of 0.50",2022-08-29T03:13:10.625Z,166174279062505
"""onlycallz @ xj3nLBqQ53"" posts a small blind of 0.25",2022-08-29T03:13:10.625Z,166174279062504
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (42.41) | #6 ""DonkeyKing @ j5UIC5xTp0"" (338.29)",2022-08-29T03:13:10.625Z,166174279062501
"-- starting hand #350  (No Limit Texas Hold'em) (dealer: ""onlycallz @ xj3nLBqQ53"") --",2022-08-29T03:13:10.625Z,166174279062500
"-- ending hand #349 --",2022-08-29T03:13:07.510Z,166174278751002
"""DonkeyKing @ j5UIC5xTp0"" collected 21.00 from pot with Full House, Q's over 7's (combination: Q♥, Q♦, Q♣, 7♣, 7♠)",2022-08-29T03:13:07.510Z,166174278751001
"""DonkeyKing @ j5UIC5xTp0"" shows a Q♥, Q♦.",2022-08-29T03:13:07.510Z,166174278751000
"""onlycallz @ xj3nLBqQ53"" calls 5.50",2022-08-29T03:13:06.690Z,166174278669000
"""DonkeyKing @ j5UIC5xTp0"" bets 5.50",2022-08-29T03:13:01.514Z,166174278151400
"""onlycallz @ xj3nLBqQ53"" checks",2022-08-29T03:12:53.101Z,166174277310100
"River: 7♣, Q♣, 10♠, 8♠ [7♠]",2022-08-29T03:12:50.606Z,166174277060600
"""onlycallz @ xj3nLBqQ53"" calls 2.50",2022-08-29T03:12:49.744Z,166174276974400
"""DonkeyKing @ j5UIC5xTp0"" bets 2.50",2022-08-29T03:12:39.311Z,166174275931100
"""onlycallz @ xj3nLBqQ53"" checks",2022-08-29T03:12:34.291Z,166174275429100
"Turn: 7♣, Q♣, 10♠ [8♠]",2022-08-29T03:12:32.591Z,166174275259100
"""onlycallz @ xj3nLBqQ53"" calls 1.25",2022-08-29T03:12:31.745Z,166174275174500
"""DonkeyKing @ j5UIC5xTp0"" bets 1.25",2022-08-29T03:12:26.584Z,166174274658400
"""onlycallz @ xj3nLBqQ53"" checks",2022-08-29T03:12:23.104Z,166174274310400
"Flop:  [7♣, Q♣, 10♠]",2022-08-29T03:12:19.783Z,166174273978300
"""onlycallz @ xj3nLBqQ53"" calls 1.25",2022-08-29T03:12:18.934Z,166174273893400
"""DonkeyKing @ j5UIC5xTp0"" raises to 1.25",2022-08-29T03:12:15.321Z,166174273532100
"""onlycallz @ xj3nLBqQ53"" posts a big blind of 0.50",2022-08-29T03:12:13.074Z,166174273307405
"""DonkeyKing @ j5UIC5xTp0"" posts a small blind of 0.25",2022-08-29T03:12:13.074Z,166174273307404
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (52.91) | #6 ""DonkeyKing @ j5UIC5xTp0"" (327.79)",2022-08-29T03:12:13.074Z,166174273307401
"-- starting hand #349  (No Limit Texas Hold'em) (dealer: ""DonkeyKing @ j5UIC5xTp0"") --",2022-08-29T03:12:13.074Z,166174273307400
"-- ending hand #348 --",2022-08-29T03:12:10.162Z,166174273016202
"""onlycallz @ xj3nLBqQ53"" collected 2.50 from pot",2022-08-29T03:12:10.162Z,166174273016201
"Uncalled bet of 0.66 returned to ""onlycallz @ xj3nLBqQ53""",2022-08-29T03:12:10.162Z,166174273016200
"""DonkeyKing @ j5UIC5xTp0"" folds",2022-08-29T03:12:09.287Z,166174272928700
"""onlycallz @ xj3nLBqQ53"" bets 0.66",2022-08-29T03:12:07.796Z,166174272779600
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:12:03.367Z,166174272336700
"Flop:  [K♦, K♥, J♦]",2022-08-29T03:12:00.274Z,166174272027400
"""DonkeyKing @ j5UIC5xTp0"" calls 1.25",2022-08-29T03:11:59.366Z,166174271936600
"""onlycallz @ xj3nLBqQ53"" raises to 1.25",2022-08-29T03:11:57.967Z,166174271796700
"""DonkeyKing @ j5UIC5xTp0"" posts a big blind of 0.50",2022-08-29T03:11:55.263Z,166174271526305
"""onlycallz @ xj3nLBqQ53"" posts a small blind of 0.25",2022-08-29T03:11:55.263Z,166174271526304
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (51.66) | #6 ""DonkeyKing @ j5UIC5xTp0"" (329.04)",2022-08-29T03:11:55.263Z,166174271526301
"-- starting hand #348  (No Limit Texas Hold'em) (dealer: ""onlycallz @ xj3nLBqQ53"") --",2022-08-29T03:11:55.263Z,166174271526300
"-- ending hand #347 --",2022-08-29T03:11:52.261Z,166174271226102
"""DonkeyKing @ j5UIC5xTp0"" collected 1.00 from pot",2022-08-29T03:11:52.261Z,166174271226101
"Uncalled bet of 0.75 returned to ""DonkeyKing @ j5UIC5xTp0""",2022-08-29T03:11:52.261Z,166174271226100
"""onlycallz @ xj3nLBqQ53"" folds",2022-08-29T03:11:51.351Z,166174271135100
"""DonkeyKing @ j5UIC5xTp0"" raises to 1.25",2022-08-29T03:11:48.536Z,166174270853600
"""onlycallz @ xj3nLBqQ53"" posts a big blind of 0.50",2022-08-29T03:11:46.427Z,166174270642705
"""DonkeyKing @ j5UIC5xTp0"" posts a small blind of 0.25",2022-08-29T03:11:46.427Z,166174270642704
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (52.16) | #6 ""DonkeyKing @ j5UIC5xTp0"" (328.54)",2022-08-29T03:11:46.427Z,166174270642701
"-- starting hand #347  (No Limit Texas Hold'em) (dealer: ""DonkeyKing @ j5UIC5xTp0"") --",2022-08-29T03:11:46.427Z,166174270642700
"-- ending hand #346 --",2022-08-29T03:11:43.520Z,166174270352002
"""onlycallz @ xj3nLBqQ53"" collected 3.82 from pot",2022-08-29T03:11:43.520Z,166174270352001
"Uncalled bet of 4.77 returned to ""onlycallz @ xj3nLBqQ53""",2022-08-29T03:11:43.520Z,166174270352000
"""DonkeyKing @ j5UIC5xTp0"" folds",2022-08-29T03:11:42.695Z,166174270269500
"""onlycallz @ xj3nLBqQ53"" bets 4.77",2022-08-29T03:11:39.831Z,166174269983100
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:11:32.597Z,166174269259700
"Turn: 6♥, A♦, 3♠ [2♦]",2022-08-29T03:11:31.118Z,166174269111800
"""DonkeyKing @ j5UIC5xTp0"" calls 0.66",2022-08-29T03:11:30.269Z,166174269026900
"""onlycallz @ xj3nLBqQ53"" bets 0.66",2022-08-29T03:11:27.329Z,166174268732900
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:11:24.507Z,166174268450700
"Flop:  [6♥, A♦, 3♠]",2022-08-29T03:11:23.110Z,166174268311000
"""DonkeyKing @ j5UIC5xTp0"" calls 1.25",2022-08-29T03:11:22.220Z,166174268222000
"""onlycallz @ xj3nLBqQ53"" raises to 1.25",2022-08-29T03:11:20.537Z,166174268053700
"""DonkeyKing @ j5UIC5xTp0"" posts a big blind of 0.50",2022-08-29T03:11:18.106Z,166174267810605
"""onlycallz @ xj3nLBqQ53"" posts a small blind of 0.25",2022-08-29T03:11:18.106Z,166174267810604
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (50.25) | #6 ""DonkeyKing @ j5UIC5xTp0"" (330.45)",2022-08-29T03:11:18.106Z,166174267810601
"-- starting hand #346  (No Limit Texas Hold'em) (dealer: ""onlycallz @ xj3nLBqQ53"") --",2022-08-29T03:11:18.106Z,166174267810600
"-- ending hand #345 --",2022-08-29T03:11:15.108Z,166174267510802
"""onlycallz @ xj3nLBqQ53"" collected 0.50 from pot",2022-08-29T03:11:15.108Z,166174267510801
"Uncalled bet of 0.25 returned to ""onlycallz @ xj3nLBqQ53""",2022-08-29T03:11:15.108Z,166174267510800
"""DonkeyKing @ j5UIC5xTp0"" folds",2022-08-29T03:11:14.274Z,166174267427400
"""onlycallz @ xj3nLBqQ53"" posts a big blind of 0.50",2022-08-29T03:11:12.504Z,166174267250406
"""DonkeyKing @ j5UIC5xTp0"" posts a small blind of 0.25",2022-08-29T03:11:12.504Z,166174267250405
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (50.00) | #6 ""DonkeyKing @ j5UIC5xTp0"" (330.70)",2022-08-29T03:11:12.504Z,166174267250402
"-- starting hand #345  (No Limit Texas Hold'em) (dealer: ""DonkeyKing @ j5UIC5xTp0"") --",2022-08-29T03:11:12.504Z,166174267250401
"The admin updated the player ""onlycallz @ xj3nLBqQ53"" stack from 32.79 to 50.00.",2022-08-29T03:11:12.504Z,166174267250400
"WARNING: the admin queued the stack change for the player ""onlycallz @ xj3nLBqQ53"" reseting to 50.00 chips in the next hand.",2022-08-29T03:11:07.091Z,166174266709100
"""DonkeyKing @ j5UIC5xTp0"" shows a 8♠, 7♦.",2022-08-29T03:10:56.074Z,166174265607400
"-- ending hand #344 --",2022-08-29T03:10:55.597Z,166174265559702
"""DonkeyKing @ j5UIC5xTp0"" collected 33.42 from pot",2022-08-29T03:10:55.597Z,166174265559701
"Uncalled bet of 32.79 returned to ""DonkeyKing @ j5UIC5xTp0""",2022-08-29T03:10:55.597Z,166174265559700
"""onlycallz @ xj3nLBqQ53"" folds",2022-08-29T03:10:54.734Z,166174265473400
"""DonkeyKing @ j5UIC5xTp0"" raises to 42.82",2022-08-29T03:10:50.736Z,166174265073600
"""onlycallz @ xj3nLBqQ53"" bets 10.03",2022-08-29T03:10:35.691Z,166174263569100
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:10:24.285Z,166174262428500
"River: J♦, 7♠, K♠, K♦ [9♠]",2022-08-29T03:10:15.974Z,166174261597400
"""DonkeyKing @ j5UIC5xTp0"" calls 4.77",2022-08-29T03:10:15.111Z,166174261511100
"""onlycallz @ xj3nLBqQ53"" bets 4.77",2022-08-29T03:10:04.506Z,166174260450600
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:09:55.016Z,166174259501600
"Turn: J♦, 7♠, K♠ [K♦]",2022-08-29T03:09:53.657Z,166174259365700
"""DonkeyKing @ j5UIC5xTp0"" calls 0.66",2022-08-29T03:09:52.838Z,166174259283800
"""onlycallz @ xj3nLBqQ53"" bets 0.66",2022-08-29T03:09:50.477Z,166174259047700
"""DonkeyKing @ j5UIC5xTp0"" checks",2022-08-29T03:09:46.804Z,166174258680400
"Flop:  [J♦, 7♠, K♠]",2022-08-29T03:09:45.353Z,166174258535300
"""DonkeyKing @ j5UIC5xTp0"" calls 1.25",2022-08-29T03:09:44.492Z,166174258449200
"""onlycallz @ xj3nLBqQ53"" raises to 1.25",2022-08-29T03:09:43.328Z,166174258332800
"""DonkeyKing @ j5UIC5xTp0"" posts a big blind of 0.50",2022-08-29T03:09:35.245Z,166174257524505
